exoId;dofId;aim;adjustable;mechanism;direction
7;1;Ja;Ja;door momentenevenwicht;1
25;1;Ja;Nee;door momentenevenwicht;1
35;1;Ja;Nee;door momentenevenwicht;1
1;2;Nee;Nee;door blokkage;-1
1;2;Nee;Nee;door blokkage;1
1;3;Nee;Nee;door blokkage;-1
1;3;Nee;Nee;door blokkage;1
7;4;Ja;Nee;door momentenevenwicht;1
25;4;Ja;Ja;door momentenevenwicht;1
35;4;Ja;Ja;door momentenevenwicht;1
37;9;Ja;Nee;door momentenevenwicht;-1
1;10;Nee;Nee;door blokkage;-1
1;10;Nee;Nee;door blokkage;1
1;11;Nee;Nee;door blokkage;-1
1;11;Nee;Nee;door blokkage;1
2;12;Ja;Nee;door momentenevenwicht;-1
2;12;Ja;Nee;door blokkage;-1
6;12;Ja;Ja;door momentenevenwicht;-1
36;12;Ja;Ja;door momentenevenwicht;-1
36;12;Ja;Nee;door blokkage;-1
2;13;Ja;Nee;door momentenevenwicht;-1
6;13;Ja;Ja;door momentenevenwicht;-1
36;13;Ja;Ja;door momentenevenwicht;-1
25;19;Ja;Ja;door momentenevenwicht;1
25;19;Ja;Nee;door blokkage;1
29;19;Ja;Ja;door blokkage;1
